,Crude Oil,Total Motor Gasoline,Fuel Ethanol,Kerosene-Type Jet Fuel,Distillate Fuel Oil,Residual Fuel Oil,Propane/Propylene,Other Oils,Unfinished Oils,Total Stocks (Including SPR),Total Stocks (Excluding SPR),SPR
2011-07-29 00:00:00-04:00,1074.736,215.179,18.901,44.992,152.254,36.197,49.354,215.807,84.428,1807.42,1087.659,719.761
2011-08-05 00:00:00-04:00,1067.017,213.591,18.153,44.382,151.517,36.715,49.595,215.714,85.285,1796.684,1079.417,717.267
2011-08-12 00:00:00-04:00,1065.336,210.081,17.582,44.269,153.966,37.397,50.382,216.303,85.725,1795.316,1083.963,711.3530000000001
2011-08-19 00:00:00-04:00,1058.321,211.436,18.243,43.346,155.697,38.068,52.045,217.333,85.369,1794.489,1087.938,706.5509999999999
2011-08-26 00:00:00-04:00,1058.876,208.641,17.893,43.82,156.06,38.435,53.59,216.794,83.703,1794.109,1092.284,701.8249999999998
2011-09-02 00:00:00-04:00,1050.027,208.84,17.082,43.915,156.769,37.631,53.561,217.067,82.241,1784.892,1087.953,696.9390000000001
2011-09-09 00:00:00-04:00,1042.323,210.78,17.156,43.817,158.48,35.589,54.745,216.381,80.551,1779.271,1083.332,695.9389999999999
2011-09-16 00:00:00-04:00,1034.987,214.075,17.088,45.063,157.606,35.295,55.359,214.546,80.373,1774.019,1078.08,695.9390000000001
2011-09-23 00:00:00-04:00,1036.916,214.866,17.358,45.581,157.678,33.75,56.226,212.77,80.397,1775.145,1079.192,695.953
2011-09-30 00:00:00-04:00,1032.237,213.729,17.342,46.435,156.934,33.551,57.473,212.812,81.816,1770.513,1074.56,695.953
2011-10-07 00:00:00-04:00,1033.584,209.595,16.875,46.829,154.005,33.556,57.893,216.779,83.572,1769.116,1073.16,695.9559999999999
2011-10-14 00:00:00-04:00,1028.85,206.271,17.053,46.452,149.739,33.095,58.929,217.8,84.454,1758.189,1062.238,695.951
2011-10-21 00:00:00-04:00,1033.585,204.918,17.291,46.525,145.464,33.934,59.111,218.061,85.088,1758.889,1062.938,695.9509999999998
2011-10-28 00:00:00-04:00,1035.411,206.274,17.2,45.759,141.889,36.264,60.263,217.635,86.439,1760.695,1064.744,695.951
2011-11-04 00:00:00-04:00,1034.041,204.167,16.43,44.643,135.869,36.148,60.192,213.862,86.704,1745.352,1049.401,695.951
2011-11-11 00:00:00-05:00,1032.984,205.159,17.111,42.724,133.733,36.861,59.62,208.458,84.068,1736.65,1040.7,695.95
2011-11-18 00:00:00-05:00,1026.766,209.634,17.451,42.394,132.963,37.163,59.385,206.996,83.132,1732.752,1036.801,695.951
2011-11-25 00:00:00-05:00,1030.698,209.847,17.046,42.057,138.489,37.567,59.771,204.938,82.524,1740.413,1044.462,695.951
2011-12-02 00:00:00-05:00,1032.034,214.994,17.934,42.151,141.022,38.611,59.678,203.507,80.429,1749.931,1053.98,695.951
2011-12-09 00:00:00-05:00,1030.102,218.818,17.058,41.95,141.502,40.057,59.183,203.265,79.164,1751.935,1055.984,695.951
2011-12-16 00:00:00-05:00,1019.532,218.406,17.663,41.457,139.149,38.66,56.887,202.012,79.001,1733.766,1037.815,695.951
2011-12-23 00:00:00-05:00,1023.431,217.714,17.674,41.155,140.354,39.05,56.178,201.311,77.93,1736.867,1040.916,695.951
2011-12-30 00:00:00-05:00,1025.64,220.193,17.945,41.41,143.578,36.398,55.176,199.928,77.001,1740.268,1044.317,695.951
2012-01-06 00:00:00-05:00,1030.598,223.803,18.773,41.52,147.563,35.755,54.285,197.409,76.697,1749.706,1053.755,695.9509999999998
2012-01-13 00:00:00-05:00,1027.16,227.52,19.535,42.302,148.001,34.437,53.224,195.464,76.811,1747.643,1051.692,695.951
2012-01-20 00:00:00-05:00,1030.718,227.13,19.805,41.384,145.545,33.049,50.752,194.985,77.599,1743.368,1047.417,695.951
2012-01-27 00:00:00-05:00,1034.893,230.147,20.945,42.202,145.41,33.575,48.989,195.615,78.36,1751.776,1055.825,695.951
2012-02-03 00:00:00-05:00,1035.197,231.776,21.063,41.925,146.584,34.895,46.677,197.475,80.007,1755.592,1059.641,695.951
2012-02-10 00:00:00-05:00,1035.026,232.176,21.493,42.086,143.717,32.269,46.439,198.416,79.761,1751.622,1055.671,695.951
2012-02-17 00:00:00-05:00,1036.659,231.527,21.54,43.237,143.509,34.024,44.884,199.494,81.511,1754.874,1058.923,695.951
2012-02-24 00:00:00-05:00,1040.819,229.927,22.002,42.528,141.44,34.082,43.9,200.714,83.723,1755.412,1059.461,695.951
2012-03-02 00:00:00-05:00,1041.651,229.531,22.07,40.761,139.496,34.188,43.498,202.8,83.702,1753.995,1058.044,695.9509999999998
2012-03-09 00:00:00-05:00,1043.401,228.121,22.043,40.945,134.814,35.247,42.187,202.794,83.317,1749.552,1053.601,695.9509999999998
2012-03-16 00:00:00-04:00,1042.239,226.907,22.713,40.845,136.577,34.856,42.73,204.229,82.84,1751.096,1055.145,695.951
2012-03-23 00:00:00-04:00,1049.341,223.37,22.628,41.225,135.866,34.469,43.709,206.808,82.618,1757.416,1061.465,695.951
2012-03-30 00:00:00-04:00,1058.35,221.913,22.553,40.23,135.885,35.501,44.783,210.567,83.965,1769.782,1073.831,695.951
2012-04-06 00:00:00-04:00,1061.141,217.636,21.772,39.282,131.885,34.849,45.442,213.847,84.569,1765.854,1069.903,695.951
2012-04-13 00:00:00-04:00,1064.997,213.965,21.968,39.226,128.977,33.528,46.332,214.636,84.729,1763.629,1067.678,695.9509999999998
2012-04-20 00:00:00-04:00,1068.975,211.73,21.852,39.551,125.925,33.352,47.44,214.785,82.402,1763.61,1067.659,695.9509999999998
2012-04-27 00:00:00-04:00,1071.815,209.721,22.222,39.707,124.022,32.59,48.507,216.932,83.555,1765.516,1069.565,695.951
2012-05-04 00:00:00-04:00,1075.467,207.108,21.374,39.346,120.771,32.418,51.023,219.543,83.59,1767.05,1071.099,695.951
2012-05-11 00:00:00-04:00,1077.595,204.311,20.63,38.39,119.802,32.706,52.725,223.763,85.376,1769.922,1073.971,695.951
2012-05-18 00:00:00-04:00,1078.478,201.012,21.398,38.28,119.493,31.989,53.998,226.331,85.008,1770.979,1075.028,695.951
2012-05-25 00:00:00-04:00,1080.691,200.179,21.508,38.813,117.784,31.669,55.647,230.184,85.569,1776.475,1080.524,695.951
2012-06-01 00:00:00-04:00,1080.58,203.525,21.188,39.837,120.037,31.022,57.915,229.156,84.198,1783.26,1087.309,695.951
2012-06-08 00:00:00-04:00,1080.389,201.801,20.666,39.202,119.974,32.696,58.241,231.447,83.813,1784.416,1088.465,695.951
2012-06-15 00:00:00-04:00,1083.25,202.744,21.185,39.204,121.13,34.215,59.556,234.213,84.269,1795.497,1099.546,695.951
2012-06-22 00:00:00-04:00,1083.117,204.822,20.757,38.628,118.851,34.884,61.376,235.659,84.25,1798.094,1102.143,695.951
2012-06-29 00:00:00-04:00,1078.847,204.973,20.293,37.818,117.8,34.991,62.233,237.064,83.799,1794.019,1098.068,695.951
2012-07-06 00:00:00-04:00,1074.151,207.725,19.532,38.858,120.912,35.531,63.183,237.081,82.299,1796.973,1101.022,695.951
2012-07-13 00:00:00-04:00,1073.342,205.91,19.556,38.176,123.531,35.723,64.745,237.42,81.027,1798.403,1102.452,695.951
2012-07-20 00:00:00-04:00,1076.059,210.044,19.005,39.542,125.239,35.494,66.018,237.132,79.924,1808.533,1112.582,695.9509999999998
2012-07-27 00:00:00-04:00,1069.536,207.87,19.401,40.612,124.265,34.07,67.463,238.092,79.43,1801.309,1105.359,695.95
2012-08-03 00:00:00-04:00,1065.807,206.069,18.651,40.259,123.541,35.21,68.056,242.672,80.706,1800.265,1104.315,695.95
2012-08-10 00:00:00-04:00,1062.108,203.698,18.447,40.89,124.218,34.417,69.027,242.878,80.555,1795.683,1099.733,695.95
2012-08-17 00:00:00-04:00,1056.696,202.736,18.493,41.84,125.21,34.511,70.942,242.25,79.761,1792.678,1096.728,695.95
2012-08-24 00:00:00-04:00,1060.474,201.227,18.494,43.158,126.083,33.709,71.658,242.537,79.904,1797.34,1101.39,695.9499999999998
2012-08-31 00:00:00-04:00,1053.048,198.893,18.732,43.031,127.076,33.128,72.496,241.324,78.061,1787.728,1091.778,695.95
2012-09-07 00:00:00-04:00,1054.042,197.716,18.953,42.052,128.552,33.632,72.695,242.441,78.961,1790.083,1095.133,694.95
2012-09-14 00:00:00-04:00,1062.578,196.309,19.325,43.389,128.23,33.226,74.017,244.413,81.261,1801.487,1106.535,694.952
2012-09-21 00:00:00-04:00,1060.132,195.828,19.259,43.972,127.748,35.128,74.29,242.463,81.933,1798.82,1103.868,694.952
